Player Name,Club Name,SCA,SCA Types,GCA,GCA Types,,Player,Nation,Pos,Age,90s,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90
David Ozoh,Crystal Palace,0,"MF,DF",0,2.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
James Tomkins,Crystal Palace,0,DF,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Rob Holding,Crystal Palace,,DF,,1.0,,,,,,,,Matches,,,,,,
Remi Matthews,Crystal Palace,0,GK,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
José Luis García Vayá,Valencia,3,MF,0,38.8,124,3.38,79,34,1,5,2,Matches,0.22,8,0,0,0,0
Giorgi Mamardashvili,Valencia,0,GK,0,36.5,7,0.19,2,5,0,0,0,Matches,0.03,0,1,0,0,0
Cristhian Mosquera,Valencia,0,DF,0,36.1,16,0.47,15,0,0,0,1,Matches,0.00,0,0,0,0,0
Hugo Duro,Valencia,14,FW,3,34.7,49,1.48,25,0,4,5,1,Matches,0.27,4,0,1,1,0
Diego López,Valencia,3,"MF,FW",0,31.4,79,2.68,65,0,5,2,4,Matches,0.37,9,0,1,1,0
Javier Guerra,Valencia,3,MF,0,30.3,46,1.66,33,0,7,3,0,Matches,0.04,0,0,1,0,0
Thierry Correia,Valencia,3,DF,1,26.4,51,2.13,38,6,3,1,0,Matches,0.29,3,2,0,1,0
Francisco Perez,Valencia,2,"MF,FW",0,24.7,40,1.76,33,0,3,1,1,Matches,0.31,5,0,1,1,0
Dimitri Foulquier,Valencia,1,"DF,MF",0,21.5,27,1.32,21,2,0,0,3,Matches,0.10,2,0,0,0,0
José Luis Gayà,Valencia,0,DF,0,21.2,45,2.26,40,2,1,0,2,Matches,0.35,7,0,0,0,0
Cenk Özkacar,Valencia,0,DF,0,20.1,13,0.73,12,1,0,0,0,Matches,0.11,2,0,0,0,0
Hugo Guillamón,Valencia,1,MF,0,17.4,30,2.05,27,1,0,0,1,Matches,0.00,0,0,0,0,0
Gabriel Paulista,Valencia,0,DF,0,16.5,8,0.52,6,0,0,1,1,Matches,0.00,0,0,0,0,0
Sergi Canós,Valencia,2,"MF,FW",0,16.5,32,2.35,20,0,5,4,1,Matches,0.15,2,0,0,0,0
Roman Yaremchuk,Valencia,1,FW,0,13.2,11,1.07,7,1,1,1,0,Matches,0.10,0,0,1,0,0
Mouctar Diakhaby,Valencia,0,"DF,MF",0,12.9,6,0.50,6,0,0,0,0,Matches,0.08,1,0,0,0,0
Domingos André Ribeiro Almeida,Valencia,2,"FW,MF",0,10.7,29,2.71,18,3,3,3,0,Matches,0.09,1,0,0,0,0
Jesus Vazquez,Valencia,0,"DF,MF",0,10.3,10,1.26,5,5,0,0,0,Matches,0.00,0,0,0,0,0
Yarek Hernandis,Valencia,0,DF,0,10.2,5,0.61,2,2,0,1,0,Matches,0.00,0,0,0,0,0
Selim Amallah,Valencia,4,"FW,MF",0,8.3,14,2.09,7,0,3,0,0,Matches,0.15,1,0,0,0,0
Peter Federico,Valencia,1,"MF,FW",1,7.2,14,1.94,8,2,2,1,0,Matches,0.14,0,0,0,0,0
Jaume Doménech,Valencia,0,GK,0,5.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Alberto Marí,Valencia,1,FW,1,4.3,8,2.62,6,0,0,1,0,Matches,0.98,1,0,0,1,0
Pablo Gozalbez,Valencia,0,"MF,FW",0,3.2,1,0.87,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Hugo González,Valencia,1,"MF,FW",0,1.8,5,5.11,2,2,0,0,0,Matches,1.02,1,0,0,0,0
César Tárrega,Valencia,0,DF,0,1.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ruben Lendinez,Valencia,0,DF,0,1.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Marco Camús,Valencia,,MF,,0.8,,,,,,,,Matches,,,,,,
Cristian,Valencia,0,GK,0,0.6,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
David Otorbi,Valencia,,FW,,0.5,,,,,,,,Matches,,,,,,
Mario Dominguez,Valencia,0,FW,0,0.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ali Fadal,Valencia,,MF,,0.2,,,,,,,,Matches,,,,,,
Guillaume Restes,Toulouse,0,GK,0,43.0,2,0.05,1,1,0,0,0,Matches,0.00,0,0,0,0,0
Rasmus Nicolaisen,Toulouse,1,DF,0,42.5,20,0.49,10,1,1,5,2,Matches,0.02,1,0,0,0,0
Thijs Dallinga,Toulouse,3,FW,1,38.1,63,1.79,44,0,4,9,3,Matches,0.34,8,0,0,2,1
Logan Costa,Toulouse,0,DF,0,36.4,27,0.74,26,0,0,0,1,Matches,0.08,2,0,0,0,1
Vincent Sierro,Toulouse,4,MF,1,35.9,86,2.60,43,26,3,8,2,Matches,0.27,4,3,1,0,0
Gabriel Suazo,Toulouse,3,DF,0,35.6,100,3.07,74,13,3,2,5,Matches,0.28,8,0,0,0,1
Cristian Cásseres Jr.,Toulouse,0,MF,0,29.3,42,1.56,31,5,1,2,3,Matches,0.15,4,0,0,0,0
Aron Dønnum,Toulouse,7,"FW,MF",1,25.7,66,2.69,40,5,5,7,2,Matches,0.28,6,0,0,0,0
Mikkel Desler,Toulouse,2,DF,0,23.3,36,1.55,23,2,3,5,1,Matches,0.09,1,0,0,1,0
Moussa Diarra,Toulouse,2,DF,2,22.6,24,1.11,18,2,1,1,0,Matches,0.28,4,0,0,0,0
Stijn Spierings,Toulouse,2,MF,0,20.6,46,2.46,37,1,1,4,1,Matches,0.16,3,0,0,0,0
Niklas Schmidt,Toulouse,1,MF,0,19.1,66,3.53,44,15,3,3,0,Matches,0.21,3,1,0,0,0
Frank Magri,Toulouse,5,"FW,MF",1,18.5,37,2.03,25,1,4,2,0,Matches,0.38,5,0,0,1,0
Waren Kamanzi,Toulouse,0,"DF,FW",0,16.7,27,1.85,23,2,0,1,1,Matches,0.21,3,0,0,0,0
Christian Mawissa,Toulouse,0,DF,0,16.5,17,1.25,14,0,1,1,1,Matches,0.07,1,0,0,0,0
Yann Gboho,Toulouse,4,"MF,FW",2,15.9,46,3.05,33,0,8,1,0,Matches,0.46,5,0,0,0,0
Gelabert,Toulouse,1,"MF,FW",0,11.8,29,2.74,22,3,1,2,0,Matches,0.38,3,1,0,0,0
Zakaria Aboukhlal,Toulouse,3,"MF,FW",1,8.8,20,2.27,10,0,2,3,2,Matches,0.23,0,0,0,1,0
Kévin Keben Biakolo,Toulouse,0,DF,0,7.6,4,0.61,4,0,0,0,0,Matches,0.00,0,0,0,0,0
Denis Genreau,Toulouse,0,"MF,FW",0,5.9,16,2.73,15,0,0,1,0,Matches,0.00,0,0,0,0,0
Ibrahim Cissoko,Toulouse,1,"FW,MF",0,5.1,17,4.97,10,0,5,0,1,Matches,0.58,2,0,0,0,0
Shavy Babicka,Toulouse,0,"FW,MF",0,4.7,11,2.43,9,0,0,2,0,Matches,0.44,2,0,0,0,0
Yanis Begraoui,Toulouse,3,"FW,MF",0,4.3,9,2.43,5,0,0,0,1,Matches,0.27,1,0,0,0,0
Naatan Skyttä,Toulouse,0,"MF,FW",0,2.9,11,7.07,8,1,1,1,0,Matches,0.00,0,0,0,0,0
Álex Domínguez,Toulouse,,GK,,2.0,,,,,,,,Matches,,,,,,
Mamady Bangré,Toulouse,0,"FW,MF",0,1.1,7,6.24,6,0,1,0,0,Matches,0.89,1,0,0,0,0
Fares Chaïbi,Toulouse,0,"FW,MF",0,0.6,3,4.66,2,1,0,0,0,Matches,1.55,0,1,0,0,0
Noah Lahmadi,Toulouse,,MF,,0.3,,,,,,,,Matches,,,,,,
Noah Edjouma,Toulouse,,FW,,0.1,,,,,,,,Matches,,,,,,
Pascal Groß,Brighton,3,"MF,DF",0,45.6,217,5.09,137,61,5,10,1,Matches,0.42,11,2,4,1,0
Lewis Dunk,Brighton,0,DF,0,40.6,55,1.43,44,3,0,7,1,Matches,0.18,6,0,0,1,0
Jan Paul van Hecke,Brighton,0,DF,0,37.3,47,1.41,44,0,0,1,2,Matches,0.09,3,0,0,0,0
Billy Gilmour,Brighton,3,MF,0,32.4,81,2.69,71,5,0,2,0,Matches,0.27,7,0,0,1,0
Simon Adingra,Brighton,3,FW,0,31.6,98,3.20,68,1,15,9,2,Matches,0.20,5,0,0,0,1
João Pedro,Brighton,15,"FW,MF",5,30.5,106,3.85,68,0,11,10,2,Matches,0.55,5,0,3,2,0
Bart Verbruggen,Brighton,0,GK,0,27.0,3,0.12,3,0,0,0,0,Matches,0.00,0,0,0,0,0
Igor,Brighton,0,DF,0,25.4,34,1.49,29,2,1,1,1,Matches,0.09,2,0,0,0,0
Danny Welbeck,Brighton,5,"FW,MF",2,23.1,75,3.47,56,0,3,11,0,Matches,0.37,4,0,0,2,0
Jason Steele,Brighton,0,GK,0,23.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Kaoru Mitoma,Brighton,2,FW,0,22.9,80,3.60,61,0,12,4,1,Matches,0.59,8,0,3,2,0
Joël Veltman,Brighton,3,DF,0,21.8,20,0.92,14,2,0,0,1,Matches,0.05,1,0,0,0,0
Facundo Buonanotte,Brighton,5,"FW,MF",0,20.6,45,2.56,33,1,2,3,1,Matches,0.11,2,0,0,0,0
Pervis Estupiñán,Brighton,0,DF,0,19.8,47,2.97,41,3,1,2,0,Matches,0.19,3,0,0,0,0
Evan Ferguson,Brighton,3,FW,1,19.2,23,1.31,15,0,2,2,1,Matches,0.06,0,0,0,0,0
Carlos Baleba,Brighton,0,MF,0,16.6,17,1.10,16,0,0,1,0,Matches,0.06,1,0,0,0,0
Tariq Lamptey,Brighton,1,"DF,FW",1,14.4,21,1.59,18,0,1,1,0,Matches,0.38,4,0,0,0,0
Adam Webster,Brighton,0,DF,0,14.1,14,1.10,13,0,0,1,0,Matches,0.00,0,0,0,0,0
Jack Hinshelwood,Brighton,0,DF,0,13.5,17,1.48,14,0,0,3,0,Matches,0.00,0,0,0,0,0
Ansu Fati,Brighton,1,"MF,FW",0,11.1,40,4.05,28,0,2,7,2,Matches,0.40,3,0,0,1,0
Adam Lallana,Brighton,1,"MF,FW",0,10.7,33,3.23,32,0,0,0,0,Matches,0.20,2,0,0,0,0
James Milner,Brighton,0,"DF,MF",0,10.5,25,2.37,21,4,0,0,0,Matches,0.19,0,2,0,0,0
Solly March,Brighton,2,"FW,DF",1,8.5,27,3.38,12,9,2,1,1,Matches,0.25,0,1,0,0,0
Jakub Moder,Brighton,0,"MF,DF",0,8.2,13,1.89,11,0,1,1,0,Matches,0.15,1,0,0,0,0
Mahmoud Dahoud,Brighton,0,MF,0,7.5,17,2.51,17,0,0,0,0,Matches,0.44,3,0,0,0,0
Julio Enciso,Brighton,1,"MF,FW",0,6.6,24,3.76,15,0,5,3,0,Matches,0.31,2,0,0,0,0
Valentín Barco,Brighton,0,"DF,FW",0,3.5,8,2.35,5,3,0,0,0,Matches,0.00,0,0,0,0,0
Odeluga Offiah,Brighton,0,DF,0,1.4,4,2.81,3,1,0,0,0,Matches,0.00,0,0,0,0,0
Mark O'Mahony,Brighton,0,FW,0,0.7,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Benicio Boaitey,Brighton,0,"FW,DF",0,0.7,2,4.50,1,0,0,1,0,Matches,0.00,0,0,0,0,0
Cameron Peupion,Brighton,,MF,,0.5,,,,,,,,Matches,,,,,,
Josh Duffus,Brighton,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Jack Hinchy,Brighton,,MF,,0.0,,,,,,,,Matches,,,,,,
Illia Zabarnyi,Bournemouth,0,DF,0,41.4,27,0.73,26,0,0,1,0,Matches,0.03,1,0,0,0,0
Dominic Solanke,Bournemouth,4,FW,0,39.4,79,2.14,61,0,6,5,3,Matches,0.16,4,0,2,0,0
Ryan Christie,Bournemouth,6,MF,0,36.0,117,3.62,88,8,7,5,3,Matches,0.19,5,1,0,0,0
Lewis Cook,Bournemouth,0,MF,0,35.6,77,2.49,48,22,2,2,3,Matches,0.13,3,0,0,0,1
Neto,Bournemouth,0,GK,0,32.0,5,0.16,4,1,0,0,0,Matches,0.00,0,0,0,0,0
Marcos Senesi,Bournemouth,1,DF,0,29.7,49,1.97,44,0,0,2,2,Matches,0.32,8,0,0,0,0
Adam Smith,Bournemouth,1,DF,0,27.1,31,1.30,26,4,0,0,0,Matches,0.21,5,0,0,0,0
Milos Kerkez,Bournemouth,2,DF,1,26.0,32,1.46,25,0,0,4,1,Matches,0.18,2,0,0,0,1
Marcus Tavernier,Bournemouth,4,FW,1,25.9,101,4.29,72,14,5,5,1,Matches,0.38,6,2,0,0,0
Antoine Semenyo,Bournemouth,1,FW,1,25.5,72,3.08,50,0,11,9,1,Matches,0.30,4,0,0,1,1
Justin Kluivert,Bournemouth,4,"MF,FW",0,23.0,59,2.77,37,0,9,6,3,Matches,0.23,3,0,1,0,1
Philip Billing,Bournemouth,1,MF,0,19.5,46,2.96,40,2,1,2,0,Matches,0.32,5,0,0,0,0
Lloyd Kelly,Bournemouth,1,DF,0,18.3,29,1.67,24,2,1,0,1,Matches,0.17,3,0,0,0,0
Max Aarons,Bournemouth,3,DF,0,15.8,23,1.68,16,4,0,0,0,Matches,0.15,2,0,0,0,0
Dango Ouattara,Bournemouth,1,"FW,DF",0,15.5,45,3.30,34,1,4,2,3,Matches,0.22,3,0,0,0,0
Alex Scott,Bournemouth,2,MF,0,15.4,44,3.91,32,5,2,2,1,Matches,0.27,2,0,1,0,0
Luis Sinisterra,Bournemouth,0,"FW,MF",0,10.8,42,5.42,27,0,9,4,2,Matches,0.39,0,0,0,3,0
Chris Mepham,Bournemouth,0,DF,0,9.4,11,1.60,8,1,0,0,2,Matches,0.29,2,0,0,0,0
Mark Travers,Bournemouth,0,GK,0,7.3,2,0.50,1,1,0,0,0,Matches,0.00,0,0,0,0,0
David Brooks,Bournemouth,1,"FW,MF",0,6.2,20,6.41,16,1,1,1,0,Matches,0.96,2,0,1,0,0
Joe Rothwell,Bournemouth,1,MF,0,5.8,12,2.80,6,3,1,1,0,Matches,0.23,1,0,0,0,0
Ionuț Radu,Bournemouth,0,GK,0,5.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Enes Ünal,Bournemouth,1,"FW,MF",0,4.1,12,3.28,4,0,1,5,1,Matches,0.82,1,0,0,2,0
Kieffer Moore,Bournemouth,0,"FW,MF",0,3.3,5,4.17,5,0,0,0,0,Matches,0.00,0,0,0,0,0
Jaidon Anthony,Bournemouth,0,FW,0,2.7,3,1.78,2,0,1,0,0,Matches,0.00,0,0,0,0,0
Hamed Junior Traorè,Bournemouth,0,MF,0,2.0,4,7.66,1,0,2,1,0,Matches,0.00,0,0,0,0,0
Tyler Adams,Bournemouth,0,MF,0,1.6,3,2.25,2,1,0,0,0,Matches,0.00,0,0,0,0,0
James Hill,Bournemouth,0,DF,0,1.5,1,1.18,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Romain Faivre,Bournemouth,0,"MF,FW",0,0.6,1,2.20,0,0,1,0,0,Matches,0.00,0,0,0,0,0
Gavin Kilkenny,Bournemouth,,MF,,0.4,,,,,,,,Matches,,,,,,
Dominic Sadi,Bournemouth,0,FW,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Daniel Adu-Adjei,Bournemouth,,FW,,0.0,,,,,,,,Matches,,,,,,
Patrick Mainka,Heidenheim,0,DF,0,36.0,26,0.76,16,0,0,8,2,Matches,0.03,1,0,0,0,0
Kevin Müller,Heidenheim,0,GK,0,35.0,5,0.15,2,3,0,0,0,Matches,0.00,0,0,0,0,0
Tim Kleindienst,Heidenheim,1,FW,1,33.0,71,2.23,54,0,4,9,3,Matches,0.35,8,0,1,1,0
Jonas Föhrenbach,Heidenheim,2,DF,0,32.5,50,1.61,37,8,2,1,0,Matches,0.16,4,1,0,0,0
Eren Dinkçi,Heidenheim,6,"FW,MF",0,30.1,86,2.92,61,5,7,7,0,Matches,0.44,9,0,3,1,0
Jan-Niklas Beste,Heidenheim,10,"FW,MF",2,29.6,123,4.26,43,60,2,7,1,Matches,0.69,9,8,0,1,0
Omar Traoré,Heidenheim,1,DF,1,28.5,44,1.60,38,3,1,1,0,Matches,0.22,5,0,0,0,0
Lennard Maloney,Heidenheim,0,MF,0,26.9,20,0.79,16,0,0,3,1,Matches,0.08,2,0,0,0,0
Benedikt Gimber,Heidenheim,0,DF,0,23.0,8,0.36,7,0,0,1,0,Matches,0.09,2,0,0,0,0
Jan Schöppner,Heidenheim,0,MF,0,22.7,32,1.44,29,0,2,1,0,Matches,0.09,2,0,0,0,0
Marvin Pieringer,Heidenheim,2,"MF,FW",0,18.3,29,1.72,23,0,1,3,0,Matches,0.24,3,0,0,1,0
Norman Theuerkauf,Heidenheim,2,"MF,DF",0,14.5,27,1.93,19,4,0,1,1,Matches,0.14,2,0,0,0,0
Kevin Sessa,Heidenheim,7,"MF,FW",0,12.6,41,3.64,20,8,3,3,0,Matches,0.09,1,0,0,0,0
Adrian Beck,Heidenheim,0,"MF,FW",0,11.9,29,2.68,22,0,3,3,1,Matches,0.37,3,0,0,1,0
Tim Siersleben,Heidenheim,0,DF,0,11.6,8,0.79,6,0,0,1,1,Matches,0.10,0,0,0,0,1
Nikola Dovedan,Heidenheim,3,"MF,FW",1,7.6,23,3.17,16,0,1,3,0,Matches,0.41,2,0,0,0,0
Marnon Busch,Heidenheim,0,DF,0,7.6,13,1.96,13,0,0,0,0,Matches,0.15,1,0,0,0,0
Denis Thomalla,Heidenheim,0,"MF,FW",0,6.3,9,1.82,8,0,0,1,0,Matches,0.00,0,0,0,0,0
Florian Pick,Heidenheim,0,"MF,FW",0,5.0,17,4.65,9,4,4,0,0,Matches,0.27,1,0,0,0,0
Stefan Schimmer,Heidenheim,0,"MF,FW",0,1.8,4,2.32,2,0,0,1,1,Matches,0.58,1,0,0,0,0
Vitus Eicher,Heidenheim,,GK,,1.0,,,,,,,,Matches,,,,,,
Christian Kühlwetter,Heidenheim,0,MF,0,0.6,1,11.25,1,0,0,0,0,Matches,11.25,1,0,0,0,0
Thomas Keller,Heidenheim,0,"MF,FW",0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Antonee Robinson,Fulham,1,DF,0,42.3,69,1.90,63,2,2,0,1,Matches,0.19,7,0,0,0,0
Bernd Leno,Fulham,0,GK,0,41.3,1,0.03,1,0,0,0,0,Matches,0.00,0,0,0,0,0
João Palhinha,Fulham,2,MF,0,35.9,33,1.10,23,2,0,4,2,Matches,0.07,1,0,0,1,0
Timothy Castagne,Fulham,0,DF,0,34.1,50,1.71,39,2,4,4,1,Matches,0.07,2,0,0,0,0
Andreas Pereira,Fulham,3,MF,0,34.1,137,4.72,80,48,3,3,0,Matches,0.52,10,4,1,0,0
Calvin Bassey,Fulham,0,DF,0,28.8,15,0.59,13,0,0,2,0,Matches,0.08,0,0,0,2,0
Willian,Fulham,2,FW,0,26.8,111,4.87,81,15,4,9,0,Matches,0.44,10,0,0,0,0
Alex Iwobi,Fulham,0,"FW,MF",0,26.6,103,4.23,87,0,6,9,1,Matches,0.41,8,0,0,2,0
Harry Wilson,Fulham,8,FW,1,23.0,65,3.61,42,4,5,4,2,Matches,0.56,9,0,0,0,0
Tosin Adarabioyo,Fulham,0,DF,0,22.5,10,0.56,6,0,0,4,0,Matches,0.00,0,0,0,0,0
Rodrigo Muniz,Fulham,4,FW,0,22.3,39,2.20,21,0,3,9,2,Matches,0.11,1,0,0,1,0
Issa Diop,Fulham,0,DF,0,22.3,4,0.25,4,0,0,0,0,Matches,0.00,0,0,0,0,0
Bobby Reid,Fulham,0,FW,0,21.8,35,2.17,29,0,1,3,2,Matches,0.25,3,0,0,0,1
Tom Cairney,Fulham,1,MF,1,21.7,71,4.30,62,2,2,2,2,Matches,0.79,11,0,1,0,0
Harrison Reed,Fulham,1,MF,0,19.3,29,1.97,25,3,0,0,0,Matches,0.34,3,2,0,0,0
Tim Ream,Fulham,0,DF,0,19.1,10,0.60,9,1,0,0,0,Matches,0.06,1,0,0,0,0
Raúl Jiménez,Fulham,1,FW,0,18.4,27,1.74,15,0,4,6,1,Matches,0.19,0,0,1,2,0
Saša Lukić,Fulham,0,MF,0,15.6,27,2.17,19,0,1,6,1,Matches,0.00,0,0,0,0,0
Kenny Tete,Fulham,1,DF,1,14.4,15,1.56,11,0,2,1,0,Matches,0.21,1,0,0,0,0
Marek Rodák,Fulham,,GK,,5.3,,,,,,,,Matches,,,,,,
Carlos Vinícius,Fulham,0,FW,0,4.9,9,2.57,8,0,1,0,0,Matches,0.29,1,0,0,0,0
Adama Traoré,Fulham,0,"FW,MF",0,4.9,14,3.34,12,0,1,1,0,Matches,1.19,4,0,1,0,0
Fodé Ballo-Touré,Fulham,0,"DF,MF",0,2.5,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Luke Harris,Fulham,0,MF,0,1.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Luc De Fougerolles,Fulham,,DF,,1.0,,,,,,,,Matches,,,,,,
Armando Broja,Fulham,0,FW,0,1.0,1,1.01,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Tyrese Francois,Fulham,,MF,,0.5,,,,,,,,Matches,,,,,,
Aleksandar Mitrović,Fulham,0,FW,0,0.4,2,5.45,1,0,1,0,0,Matches,2.73,1,0,0,0,0
Devan Tanton,Fulham,,DF,,0.0,,,,,,,,Matches,,,,,,
Marvin Ducksch,Werder Bremen,3,FW,1,30.6,109,3.64,51,40,5,9,1,Matches,0.47,7,5,0,1,0
Romano Schmid,Werder Bremen,6,"MF,FW",0,29.9,118,4.08,101,4,4,2,1,Matches,0.55,15,0,0,1,0
Anthony Jung,Werder Bremen,1,DF,0,29.6,25,0.87,22,2,0,0,0,Matches,0.03,1,0,0,0,0
Mitchell Weiser,Werder Bremen,6,"DF,MF",0,29.5,89,3.04,61,3,11,6,2,Matches,0.55,13,0,1,2,0
Michael Zetterer,Werder Bremen,0,GK,0,27.0,6,0.22,6,0,0,0,0,Matches,0.00,0,0,0,0,0
Jens Stage,Werder Bremen,1,MF,1,26.9,54,2.09,46,2,0,4,1,Matches,0.19,3,0,0,1,0
Marco Friedl,Werder Bremen,0,DF,0,24.4,4,0.16,4,0,0,0,0,Matches,0.04,1,0,0,0,0
Miloš Veljković,Werder Bremen,0,DF,0,22.3,14,0.66,14,0,0,0,0,Matches,0.14,3,0,0,0,0
Senne Lynen,Werder Bremen,0,MF,0,20.0,27,1.35,25,0,0,0,2,Matches,0.25,5,0,0,0,0
Leonardo Bittencourt,Werder Bremen,1,MF,1,18.3,46,2.63,43,0,0,2,0,Matches,0.17,2,0,0,0,0
Felix Agu,Werder Bremen,7,"DF,MF",3,17.9,24,1.34,16,1,0,0,0,Matches,0.17,0,0,0,0,0
Olivier Deman,Werder Bremen,2,DF,0,15.2,35,2.31,25,3,2,2,1,Matches,0.07,1,0,0,0,0
Nick Woltemade,Werder Bremen,4,"FW,MF",0,13.2,53,4.03,44,0,2,2,1,Matches,0.15,2,0,0,0,0
Niklas Stark,Werder Bremen,0,DF,0,13.1,9,0.74,8,0,0,0,1,Matches,0.08,1,0,0,0,0
Justin Njinmah,Werder Bremen,1,FW,0,11.3,32,2.83,23,0,7,1,0,Matches,0.35,3,0,1,0,0
Rafael Borré,Werder Bremen,1,FW,1,11.0,22,2.00,19,0,0,2,0,Matches,0.18,1,0,0,0,0
Christian Groß,Werder Bremen,0,"DF,MF",0,9.2,8,0.90,8,0,0,0,0,Matches,0.11,1,0,0,0,0
Jiří Pavlenka,Werder Bremen,0,GK,0,8.0,3,0.43,2,1,0,0,0,Matches,0.00,0,0,0,0,0
Julián Malatini,Werder Bremen,0,DF,0,6.7,6,0.90,5,0,1,0,0,Matches,0.15,0,0,1,0,0
Amos Pieper,Werder Bremen,0,DF,0,6.7,6,0.92,6,0,0,0,0,Matches,0.00,0,0,0,0,0
Dawid Kownacki,Werder Bremen,3,FW,1,4.2,17,4.01,8,0,1,5,0,Matches,0.47,1,0,0,0,0
Niclas Füllkrug,Werder Bremen,0,FW,0,3.0,7,3.50,6,0,0,1,0,Matches,0.00,0,0,0,0,0
Skelly Alvero,Werder Bremen,0,MF,0,1.4,4,2.90,4,0,0,0,0,Matches,0.00,0,0,0,0,0
Naby Keïta,Werder Bremen,0,"MF,DF",0,1.2,2,1.64,2,0,0,0,0,Matches,0.82,1,0,0,0,0
Oliver Burke,Werder Bremen,0,FW,0,1.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Nicolai Rapp,Werder Bremen,0,DF,0,1.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Isak Hansen-Aarøen,Werder Bremen,0,MF,0,0.3,1,3.33,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Leon Opitz,Werder Bremen,0,"FW,DF",0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ilia Gruev,Werder Bremen,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Joel Imasuen,Werder Bremen,0,FW,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Noah Atubolu,Freiburg,0,GK,0,45.3,7,0.16,4,3,0,0,0,Matches,0.00,0,0,0,0,0
Maximilian Eggestein,Freiburg,2,MF,0,43.9,103,2.47,89,0,3,8,1,Matches,0.19,7,0,0,1,0
Nicolas Höfler,Freiburg,2,MF,0,37.2,49,1.38,40,1,0,5,1,Matches,0.08,3,0,0,0,0
Ritsu Doan,Freiburg,6,"MF,FW",2,35.7,101,3.02,69,13,8,4,1,Matches,0.33,7,1,0,1,0
Lucas Höler,Freiburg,6,"FW,MF",1,35.4,89,2.66,72,0,1,5,5,Matches,0.33,9,0,0,0,1
Vincenzo Grifo,Freiburg,2,"MF,FW",2,34.7,131,4.04,83,35,7,4,0,Matches,0.43,7,4,0,1,0
Matthias Ginter,Freiburg,2,DF,0,31.6,35,1.19,30,1,0,1,1,Matches,0.17,4,0,0,0,1
Manuel Gulde,Freiburg,0,DF,0,30.1,23,0.78,20,1,0,1,1,Matches,0.07,2,0,0,0,0
Kiliann Sildillia,Freiburg,0,"DF,MF",0,28.7,48,1.80,35,8,0,3,2,Matches,0.22,4,1,0,1,0
Roland Sallai,Freiburg,6,"FW,MF",2,28.1,91,3.34,66,3,2,14,0,Matches,0.40,5,0,0,4,0
Lukas Kübler,Freiburg,2,DF,0,25.4,24,0.95,16,3,1,2,0,Matches,0.12,2,0,0,1,0
Michael Gregoritsch,Freiburg,4,FW,0,24.1,56,2.52,38,0,3,10,1,Matches,0.54,7,0,1,4,0
Merlin Röhl,Freiburg,2,"MF,FW",0,20.7,54,2.69,41,0,3,7,1,Matches,0.30,4,0,1,1,0
Philipp Lienhart,Freiburg,0,DF,0,20.1,18,0.97,15,0,0,3,0,Matches,0.05,1,0,0,0,0
Jordy Makengo,Freiburg,0,DF,0,14.9,21,1.41,18,2,0,1,0,Matches,0.13,2,0,0,0,0
Christian Günter,Freiburg,0,DF,0,14.4,33,2.40,24,7,0,1,1,Matches,0.15,2,0,0,0,0
Noah Weißhaupt,Freiburg,6,"MF,DF",3,13.0,50,4.29,35,2,2,5,0,Matches,0.69,4,0,1,0,0
Yannik Keitel,Freiburg,0,DF,0,11.3,12,1.07,11,0,0,1,0,Matches,0.18,1,0,0,1,0
Maximilian Philipp,Freiburg,2,"FW,MF",0,4.7,15,3.17,10,0,1,2,0,Matches,0.42,0,0,1,1,0
