Player Name,Club Name,FoulsDrawnLeadingToShotAttempt,Position,FoulsDrawnLeadingToGoal,ActionsLeadingToShots,ShotCreatingActionsPer90Min,InPlayPassesThatLeadToShotAttempt,SetpiecesLeadingToShotAttempt,SuccessfulTakeOnsLeadingToShotAttempt,ShotsThatLeadToShotAttempt,DefensiveActionsLeadingToShotAttempt,GoalCreationAccuracy,InPlayPassesLeadingToGoal,SetpiecesLeadingToGoal,FoulsDrawnLeadingToGoal,ShotsAttemptLeadingToGoal,DefensiveActionsLeadingToGoal,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside
Miguel,Alavés,1,"FW,MF",0,1,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,2,0,0,0,0,0,2,1,50,2.77,1.38,0,0,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2,0.7,22,0,1,12,9,3,0,0,,0,,9,42,25,1,0,1,4,14,3,23,75,15,0,3,6,50,2,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,3,1,2,33.3,15,12,3,0,0,0,0,0,0,0,0,0,7,0
Tomás Mendes,Alavés,0,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.6,7,0,1,4,2,0,0,0,,0,,6,20,1,0,1,0,1,5,0,18,63,6,0,1,2,50,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,6,6,0,0,0,0,0,0,0,0,0,0,4,0
Mamadou Sylla,Alavés,0,"FW,MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0.2,13,1,3,6,4,0,1,0,0,1,100,6,25,10,0,0,0,1,8,1,29,64,7,6,1,4,25,1,0,0,1,1,100,0,0,0,1,2,0,0,0,0,0,0,0,1,3,3,50,7,6,1,0,0,0,0,0,0,0,0,0,3,0
Eneko Ortiz,Alavés,0,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0.2,4,0,0,2,2,0,0,0,,0,,2,22,17,1,1,0,0,2,1,20,43,4,31,2,2,100,1,1,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,4,2,2,0,0,0,1,2,0,0,0,0,3,0
José de León,Alavés,,MF,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,0,0,0,,0,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,,,,,,,
Max Kilman,Wolves,0,DF,0,39,1.03,34,0,2,2,1,0,0,0,0,0,0,4,47,23,40,6,1,24,27,75,8,64,37,45,86,182,2,16,6,37.5,0.36,0.14,0.13,0.33,9.8,0,0,0,1.8,1.8,0.13,0.2,0.2,8,44.2,2706,451,1478,1110,133,30,16,10,62.5,3,18.8,1582,7276,4107,22,17,1,10,1877,5,26,36846,2309,13119,766,824,93,1008,11,1,117,346,52.9,8,0,0,40,19,2,7,45,23,0,1,0,177,86,36,70.5,2309,2245,55,38,2,20,7,8,0,0,0,0,1979,9
José Sá,Wolves,0,GK,0,3,0.09,3,0,0,0,0,0.03,1,0,0,0,0,5,0,0,0,0,0,0,3,0,1,3,0,0,0,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,39.1,1198,1049,1189,8,1,0,3,3,100,0,0,677,4662,3131,0,1,1,1,481,0,30,17257,1097,11201,186,190,97.9,360,0,0,1,522,31,2,0,0,0,10,0,0,0,0,0,0,0,29,10,0,100,1097,771,323,70,0,1,0,0,0,0,0,0,720,3
Nélson Semedo,Wolves,6,"DF,MF",0,60,1.75,46,0,3,2,3,0.09,2,0,0,0,1,1,79,51,52,19,8,38,36,59.4,26,44,8,38,115,85,1,18,5,27.8,0.47,0.13,0.06,0.2,19.7,0,0,0,1.3,1.3,0.07,-1.3,-1.3,57,38.6,2232,136,742,993,528,37,90,51,56.7,29,32.2,1237,7650,4324,103,63,14,36,1376,150,29,21759,1849,7306,876,969,90.4,495,25,10,138,158,43.7,11,1,0,49,31,2,83,38,51,0,2,0,188,22,27,44.9,1849,1571,273,25,2,9,83,248,0,0,0,0,1474,5
Toti Gomes,Wolves,0,DF,0,21,0.68,16,1,1,3,0,0.13,3,0,0,1,0,2,44,27,32,8,4,24,21,64.9,13,40,19,35,70,93,2,12,7,58.3,0.32,0.19,0.17,0.29,9.9,0,0,0,1.6,1.6,0.16,-0.6,-0.6,17,37.8,2109,188,1020,927,169,22,31,23,74.2,5,16.1,1113,4427,2325,22,16,2,6,1394,11,24,23316,1847,8336,782,859,91,631,6,1,79,153,39.2,7,0,0,42,15,2,14,35,27,0,0,0,136,56,30,65.1,1847,1685,158,41,1,5,14,117,0,0,0,0,1516,4
Mario Lemina,Wolves,1,MF,1,47,1.42,42,0,0,4,0,0.15,4,0,0,0,0,0,90,60,46,33,11,25,27,53.2,22,36,9,44,131,64,5,56,20,35.7,1.55,0.55,0.09,0.25,16.6,0,0,0,4.6,4.6,0.1,-0.6,-0.6,33,36.2,1817,130,557,980,308,51,46,25,54.3,19,41.3,933,4903,2281,32,31,3,22,1203,49,29,20364,1470,5341,654,718,91.1,485,8,3,76,146,63,12,1,1,46,27,8,17,44,60,0,0,0,199,35,41,46.1,1470,1432,31,21,8,12,17,9,0,0,0,0,1261,7
João Gomes,Wolves,2,MF,0,65,2.21,48,4,2,4,5,0.14,3,0,0,1,0,2,128,80,67,49,12,44,43,44.4,55,51,8,20,146,29,2,28,8,28.6,0.88,0.25,0.07,0.25,18.5,0,0,0,1.7,1.7,0.07,0.3,0.3,42,31.7,1626,66,433,859,352,35,55,26,47.3,23,41.8,804,3929,1772,28,22,6,44,1010,44,22,15291,1279,4174,596,665,89.6,342,23,5,101,94,53.2,11,1,0,73,41,1,30,20,80,0,2,0,183,18,25,41.9,1279,1209,62,35,7,5,30,9,14,4,4,3,1051,8
Matheus Cunha,Wolves,8,"FW,MF",1,78,2.88,46,1,12,8,3,0.48,9,0,1,1,1,1,30,18,8,17,5,13,21,37.1,22,28,7,13,43,21,14,77,38,49.4,2.51,1.24,0.16,0.32,18,0,2,2,9.5,8.7,0.12,2.5,2.3,80,30.6,1220,30,170,610,474,121,140,64,45.7,61,43.6,719,5683,3203,107,79,38,53,884,139,24,8887,831,2308,411,476,86.3,182,31,1,87,57,56.1,10,0,0,32,51,5,24,13,18,1,0,0,114,16,47,25.4,831,769,56,8,8,7,24,15,3,1,0,0,658,6
Rayan Aït-Nouri,Wolves,6,"DF,MF",3,65,2.51,41,9,6,3,0,0.19,2,0,0,0,0,0,71,47,41,23,7,28,26,57.1,21,32,6,18,86,38,3,32,10,31.3,1.09,0.34,0.09,0.3,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,51,29.5,1522,56,406,698,446,49,115,62,53.9,39,33.9,868,4904,2435,67,48,8,56,1007,99,22,13946,1190,3935,627,688,91.1,297,13,4,99,72,52.8,8,0,0,30,61,10,48,18,47,1,1,0,136,21,25,45.7,1190,1047,138,24,2,5,48,106,8,5,2,0,1005,5
Craig Dawson,Wolves,0,DF,0,12,0.49,8,0,0,3,1,0.04,0,0,0,1,0,1,30,20,23,6,1,22,12,64.7,12,51,39,17,46,120,1,16,5,31.3,0.62,0.19,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,5,25.7,1529,292,889,592,54,34,3,3,100,0,0,896,4227,1932,1,7,0,2,997,4,33,23417,1277,8062,296,333,88.9,640,2,0,49,237,66.7,7,0,0,22,15,4,1,17,20,0,0,0,100,63,32,66.3,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3
Hwang Hee-chan,Wolves,4,"FW,MF",1,48,2.04,29,0,8,6,1,0.38,4,0,3,1,0,0,20,10,11,8,1,9,18,37.5,15,19,1,11,30,9,13,45,18,40,1.81,0.72,0.27,0.67,12.2,0,1,1,7.7,6.9,0.16,4.3,4.1,55,24.9,777,13,100,345,344,103,69,36,52.2,30,43.5,478,2586,999,37,21,24,31,564,120,27,5661,551,1028,256,312,82.1,131,7,2,37,21,61.9,7,0,0,32,34,18,13,11,10,1,1,0,75,7,44,13.7,551,508,43,1,3,3,13,10,4,0,0,0,424,0
Pablo Sarabia,Wolves,5,"MF,FW",0,87,4.49,49,26,2,4,1,0.57,7,4,0,0,0,0,20,16,8,8,4,12,16,33.3,24,17,1,14,30,9,4,49,17,34.7,2.04,0.71,0.04,0.12,19.1,7,2,2,5.5,3.9,0.09,-1.5,-1.9,41,24,1172,13,137,552,495,55,43,17,39.5,22,51.2,687,3304,1501,41,52,9,23,822,137,31,11034,976,3731,377,439,85.9,195,40,6,109,168,43.5,7,0,0,24,29,9,154,14,16,0,0,0,90,7,21,25,976,837,130,34,9,7,154,7,71,37,19,10,684,9
Tommy Doyle,Wolves,0,MF,0,26,1.91,20,6,0,0,0,0.37,4,1,0,0,0,0,26,21,11,10,5,14,13,60.9,9,22,9,16,38,18,1,15,3,20,0.77,0.15,0.07,0.33,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,7,19.5,1061,40,265,620,182,6,3,1,33.3,1,33.3,637,3091,1408,21,17,2,7,766,17,21,15164,955,4208,309,331,93.4,361,7,2,81,178,59.6,2,0,0,11,6,0,43,16,21,0,0,0,93,0,4,0,955,878,69,44,2,15,43,8,15,8,3,0,801,8
Pedro Neto,Wolves,7,"FW,MF",1,75,4.45,41,15,8,4,0,0.83,8,2,2,1,0,0,7,3,3,2,2,5,4,33.3,10,5,1,6,12,2,3,38,13,34.2,1.98,0.68,0.08,0.23,16.8,3,0,0,3.5,3.5,0.1,-1.5,-1.5,44,19.2,904,4,63,358,505,83,88,37,42,42,47.7,581,4915,2615,98,65,42,20,683,149,23,8269,722,1984,308,354,87,154,29,12,54,98,50,5,0,0,16,22,2,122,6,3,1,0,0,79,4,18,18.2,722,645,73,23,1,5,122,14,34,16,10,2,538,4
Matt Doherty,Wolves,0,"DF,MF",0,19,1.48,18,1,0,0,0,0,0,0,0,0,0,0,31,22,17,10,4,12,10,52.2,11,15,5,12,38,47,3,16,5,31.3,0.85,0.27,0.19,0.6,10.8,0,0,0,0.8,0.8,0.09,0.2,0.2,17,18.7,811,60,274,336,205,31,14,6,42.9,7,50,325,1293,597,12,8,3,6,481,64,31,7798,653,2105,296,348,85.1,174,7,1,31,55,56.4,2,0,0,15,12,6,19,12,22,0,0,0,65,38,33,53.5,653,566,87,11,0,5,19,76,0,0,0,0,515,0
Santiago Bueno,Wolves,0,DF,0,5,0.55,5,0,0,0,0,0,0,0,0,0,0,0,13,9,5,7,1,5,10,45.5,6,22,12,8,19,33,0,2,1,50,0.14,0.07,0,0,,0,0,0,0,0,,0,0,1,14.5,566,77,301,250,18,1,1,1,100,0,0,330,1726,988,3,5,0,2,400,2,24,7158,480,2158,177,192,92.2,223,0,0,11,37,48.6,2,0,0,15,5,0,2,8,9,0,0,0,30,15,26,36.6,480,468,12,7,0,1,2,2,0,0,0,0,426,0
Jean-Ricner Bellegarde,Wolves,1,"MF,FW",0,30,2.81,20,2,6,1,0,0.19,1,0,1,0,0,0,17,10,9,6,2,7,16,46.7,8,18,2,9,25,14,2,17,5,29.4,1.21,0.36,0.12,0.4,16.5,0,0,0,1.6,1.6,0.1,0.4,0.4,25,14,478,25,86,201,199,30,39,17,43.6,17,43.6,268,1850,880,30,28,5,19,302,49,25,3452,314,786,144,161,89.4,76,7,0,39,29,48.3,0,1,0,13,28,2,33,9,10,0,0,0,41,8,26,23.5,314,297,15,4,1,0,33,1,6,3,3,0,241,2
Boubacar Traoré,Wolves,0,MF,0,13,1.43,12,0,1,0,0,0.22,2,0,0,0,0,0,35,28,16,17,2,9,10,42.9,12,12,2,7,40,7,0,13,2,15.4,1.15,0.18,0,0,27.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,13,11.3,556,17,128,346,89,3,15,10,66.7,4,26.7,283,1417,567,9,14,1,17,363,15,21,5849,455,1360,207,234,88.5,138,7,3,29,34,67.6,5,0,0,28,6,1,6,7,28,0,0,0,62,6,16,27.3,455,444,10,4,0,2,6,5,0,0,0,0,383,1
Hugo Bueno,Wolves,1,"DF,MF",0,17,2.07,14,0,1,1,0,0.24,2,0,0,0,0,0,21,15,12,7,2,12,13,63.2,7,17,4,7,27,24,1,7,1,14.3,0.74,0.11,0.14,1,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,7,9.4,517,33,180,208,130,9,23,8,34.8,11,47.8,266,1575,785,22,9,2,14,306,40,20,4380,406,1005,211,237,89,92,8,8,8,27,40.7,1,0,0,7,8,1,32,7,15,0,0,1,37,9,12,42.9,406,358,46,1,0,1,32,45,0,0,0,0,318,2
Daniel Bentley,Wolves,0,GK,0,1,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,6.3,151,120,149,2,0,0,0,0,,0,,66,318,181,0,0,0,0,76,0,30,2347,144,1661,30,30,100,37,0,0,0,76,36.8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100,144,98,46,13,0,0,0,0,0,0,0,0,96,0
Fábio Silva,Wolves,1,FW,0,9,3.08,6,0,1,1,0,0,0,0,0,0,0,0,7,4,3,4,0,2,1,66.7,1,1,0,3,9,0,1,9,4,44.4,2.15,0.96,0.11,0.25,13.8,0,0,0,1,1,0.15,-1,-1,12,4.2,118,4,24,55,44,12,8,2,25,5,62.5,66,437,186,5,5,1,4,69,13,21,779,76,174,37,43,86,16,0,0,10,4,25,2,0,0,12,6,8,2,3,4,0,1,0,15,2,5,28.6,76,72,4,1,1,0,2,1,0,0,0,0,61,0
Nathan Fraser,Wolves,0,FW,0,6,2.92,5,0,0,1,0,0,0,0,0,0,0,0,5,2,2,1,2,1,1,33.3,2,2,1,2,6,2,2,6,3,50,1.52,0.76,0.33,0.67,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,4,3.9,62,4,10,28,25,5,0,0,,0,,32,88,22,1,1,1,2,39,21,18,380,42,45,24,27,88.9,7,2,0,2,0,,1,0,0,5,4,1,0,2,2,0,0,0,8,3,9,25,42,39,3,0,0,0,0,0,0,0,0,0,33,0
Sasa Kalajdzic,Wolves,0,FW,0,5,2.71,5,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,1,1,3,50,1,3,0,2,7,6,3,6,3,50,1.88,0.94,0.5,1,11.2,0,0,0,1.1,1.1,0.26,0.9,0.9,2,3.2,88,5,20,44,24,7,1,1,100,0,0,46,143,48,1,1,0,5,68,9,26,507,60,130,22,33,66.7,10,2,0,5,5,40,1,0,0,6,5,2,1,2,3,0,0,0,4,8,4,66.7,60,59,1,0,0,0,1,0,0,0,0,0,38,0
Leon Chiwome,Wolves,0,FW,0,1,0.52,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,2,50,1,3,1,0,2,2,0,2,0,0,0.88,0,0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,3,2.3,39,3,5,25,10,4,0,0,,0,,16,86,50,1,0,1,2,18,7,17,244,22,59,12,13,92.3,6,0,0,2,1,100,0,0,0,2,3,3,0,0,1,0,0,0,5,2,6,25,22,18,4,0,0,0,0,0,0,0,0,0,19,0
Jonny Castro,Wolves,0,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,1,1,100,0.49,0.49,0,0,,0,0,0,0,0,,0,0,0,2.1,2,1,1,1,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,4,0,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Nunes,Wolves,0,MF,0,7,3.52,5,2,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,2,0,33.3,4,0,0,6,9,1,0,1,0,0,0.5,0,0,,15.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,3,2,131,4,30,66,40,6,17,11,64.7,4,23.5,93,634,336,7,6,3,4,95,9,24,1077,106,279,59,68,86.8,23,1,0,8,6,33.3,2,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7,106,97,8,4,0,0,3,2,1,1,0,0,87,1
Tawanda Chirewa,Wolves,0,"MF,FW",0,3,1.86,3,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,1,2,0,66.7,1,0,0,1,8,0,0,3,1,33.3,1.7,0.57,0,0,21,0,0,0,0.2,0.2,0.05,-0.2,-0.2,7,1.8,86,2,17,44,26,5,3,1,33.3,2,66.7,49,189,55,1,2,1,3,62,8,19,664,58,151,29,31,93.5,14,3,2,7,3,66.7,1,0,0,5,2,1,4,1,3,0,0,0,3,1,3,25,58,54,3,1,0,0,4,0,0,0,0,0,46,1
Joseph Hodge,Wolves,,MF,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,,0,0,0,,0,0,,,,,0,0,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,0,0,0,1,0,0,0,1,1,,,0,,,,,,,,,,,0,,,,,,,
Harvey Griffiths,Wolves,,MF,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,0,0,0,,0,0,,,,,0,0,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,,,0,,,,,,,,,,,1,,,,,,,
Alfie Pond,Wolves,,DF,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,0,0,0,,0,0,,,,,0,0,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,,,,,,,
Enso Gonzalez,Wolves,0,"MF,DF",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0,7,0,0,4,3,0,0,0,,0,,4,35,3,0,1,0,0,7,2,18,87,6,3,2,2,100,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,6,0,0,0,0,0,0,0,0,0,0,6,0
Sergio Herrera,Osasuna,0,GK,0,6,0.19,4,2,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,2,0,66.7,1,0,0,0,2,22,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2,32.9,1264,948,1250,18,0,0,0,0,,0,,671,4122,2365,0,0,0,0,547,0,30,26571,1185,22063,87,87,100,315,0,0,1,770,47,2,0,0,0,7,0,0,0,2,0,0,0,26,10,0,100,1185,842,341,118,0,0,0,1,0,0,0,0,766,2
Jesús Areso,Osasuna,1,DF,0,70,2.37,57,5,6,1,0,0.41,9,1,2,0,0,0,45,25,25,13,7,31,21,81.6,7,36,15,21,63,58,1,10,2,20,0.31,0.06,0.1,0.5,27.1,0,0,0,0.2,0.2,0.02,0.8,0.8,52,31.9,1669,85,367,682,643,23,82,44,53.7,34,41.5,742,4479,2388,78,60,8,25,895,180,24,16878,1368,7275,502,572,87.8,416,40,24,106,160,49.4,3,0,0,32,22,4,118,21,25,0,0,0,130,28,21,57.1,1368,1033,332,20,1,6,118,311,0,0,0,0,1021,3
Catena,Osasuna,0,DF,0,14,0.5,13,0,0,1,0,0.14,4,0,0,0,0,3,33,18,26,6,1,19,9,54.3,16,24,15,18,48,119,1,18,5,27.8,0.6,0.17,0.06,0.2,13.3,1,0,0,1.3,1.3,0.07,-0.3,-0.3,5,29.8,1574,195,786,747,55,31,7,3,42.9,4,57.1,799,3219,1577,5,2,0,4,912,1,28,25279,1341,10188,255,284,89.8,621,3,0,77,355,59.2,9,2,0,51,15,1,0,18,18,0,1,0,129,59,30,66.3,1341,1242,94,72,1,19,0,3,0,0,0,0,1095,5
Ante Budimir,Osasuna,8,FW,2,42,1.55,21,1,3,7,2,0.18,2,0,0,1,0,0,21,16,2,11,8,5,14,35.7,9,19,5,5,26,18,17,80,34,42.5,2.73,1.16,0.18,0.41,12.8,0,3,4,14.2,11.1,0.15,2.8,2.9,81,29.3,736,23,53,307,382,152,31,10,32.3,20,64.5,311,1272,504,21,12,17,31,508,99,32,2893,441,814,170,249,68.3,54,10,2,42,12,33.3,5,0,0,43,28,27,12,5,16,3,0,0,55,158,124,56,441,421,20,0,1,1,12,4,0,0,0,0,241,0
David García,Osasuna,0,DF,0,18,0.69,16,0,0,1,1,0.12,2,0,0,1,0,2,29,21,19,9,1,16,21,61.5,10,40,19,22,47,115,0,19,2,10.5,0.65,0.07,0,0,9.8,0,0,0,1,1,0.06,-1,-1,9,29.3,1585,166,665,863,64,24,4,3,75,1,25,796,4308,2698,21,12,0,2,914,4,29,21953,1339,8473,361,399,90.5,614,5,0,133,218,58.7,6,0,0,39,15,1,3,22,21,0,1,0,129,93,35,72.7,1339,1258,77,50,3,11,3,8,0,0,0,0,1109,4
Aimar Oroz,Osasuna,4,MF,0,70,2.69,60,1,1,4,0,0.12,2,0,0,1,0,0,43,30,18,20,5,13,25,35.1,24,27,2,17,59,11,2,26,7,26.9,0.92,0.25,0.04,0.14,18,1,1,1,3.5,2.8,0.11,-1.5,-1.8,58,28.4,1298,17,157,651,516,62,52,26,50,18,34.6,773,4229,2079,52,46,9,42,928,126,21,12423,1035,2859,485,560,86.6,288,18,0,103,63,65.1,3,0,0,42,54,2,12,17,30,0,0,0,144,19,39,32.8,1035,986,43,5,3,3,12,7,1,1,0,0,839,6
Rubén Peña,Osasuna,2,"DF,FW",0,61,2.63,49,1,6,2,1,0.13,2,0,0,1,0,3,47,31,22,18,7,20,29,40.8,29,37,8,32,77,39,0,18,6,33.3,0.72,0.24,0,0,21,0,0,0,0.9,0.9,0.05,-0.9,-0.9,45,25,1241,49,290,501,468,41,73,35,47.9,33,45.2,608,3824,1843,62,43,9,33,670,147,32,10643,955,4696,297,368,80.7,263,33,18,78,129,40.3,3,0,0,33,24,7,116,32,31,0,0,0,134,14,42,25,955,785,162,5,2,3,116,149,4,3,1,0,626,8
Johan Mojica,Osasuna,1,DF,1,47,2.07,41,0,1,3,1,0.22,2,0,1,1,0,2,30,22,11,15,4,16,13,64,9,15,2,21,51,40,0,17,1,5.9,0.72,0.04,0,0,22.1,2,0,0,1,1,0.06,-1,-1,46,23.5,1426,60,342,604,495,29,45,17,37.8,25,55.6,675,3865,1785,57,52,13,10,799,117,30,14714,1193,5344,460,513,89.7,315,36,25,82,185,42.2,1,0,0,22,18,0,119,21,22,0,0,0,168,15,14,51.7,1193,1001,186,18,1,12,119,167,1,0,0,0,865,6
Moi Gómez,Osasuna,2,"MF,FW",0,60,2.69,42,12,3,1,0,0.09,0,1,0,1,0,0,30,23,7,19,4,9,14,37.5,15,15,1,11,41,22,3,19,7,36.8,0.82,0.3,0.16,0.43,21.3,1,0,0,1.7,1.7,0.09,1.3,1.3,21,23.2,1346,22,157,792,411,29,29,17,58.6,11,37.9,767,4018,1680,36,25,3,13,975,69,29,16451,1177,3884,434,484,89.7,394,12,5,127,149,61.7,3,0,0,32,31,3,53,11,23,0,0,0,118,13,18,41.9,1177,1109,61,29,0,17,53,8,18,3,11,0,953,7
Lucas Torró,Osasuna,1,MF,0,26,1.31,19,1,1,4,0,0.1,1,0,0,1,0,0,25,18,11,8,6,11,8,39.3,17,10,2,36,58,37,1,31,7,22.6,1.41,0.32,0.03,0.14,22.3,1,0,0,1.5,1.5,0.05,-0.5,-0.5,14,21.9,986,54,223,551,214,35,8,6,75,1,12.5,423,1829,555,3,7,1,10,569,15,29,9666,798,2491,298,368,81,250,6,0,60,71,56.3,6,0,0,50,17,0,3,36,18,0,0,0,115,71,41,63.4,798,785,12,12,0,6,3,0,0,0,0,0,604,1
Juan Cruz Armada,Osasuna,0,DF,0,12,0.65,10,2,0,0,0,0.05,1,0,0,0,0,1,27,18,16,10,1,17,7,68,8,14,7,15,39,39,0,5,0,0,0.23,0,0,,28.7,0,0,0,0,0,0.01,0,0,13,21.8,1071,56,315,567,200,5,12,3,25,7,58.3,508,2514,1248,16,16,0,6,575,29,31,12473,941,5357,345,382,90.3,287,9,3,77,145,51.7,3,0,0,20,6,1,27,15,18,0,0,0,89,21,17,55.3,941,759,178,11,0,0,27,165,0,0,0,0,712,4
Jon Moncayola,Osasuna,2,MF,0,54,2.7,36,13,0,1,2,0.45,7,2,0,0,0,0,27,21,14,10,3,17,26,40.5,25,31,5,15,42,21,1,18,5,27.8,0.84,0.23,0.06,0.2,23,0,0,0,0.6,0.6,0.04,0.4,0.4,20,21.4,1182,22,211,644,329,13,12,6,50,6,50,538,2237,998,14,10,2,13,759,46,25,14615,1025,4122,340,387,87.9,329,15,5,99,198,53.5,2,1,0,29,8,0,98,15,21,0,0,0,98,16,14,53.3,1025,948,74,26,0,12,98,8,40,19,20,0,786,3
Iker Muñoz,Osasuna,1,MF,0,18,0.87,14,0,0,3,0,0,0,0,0,0,0,0,32,18,13,17,2,15,11,48.4,16,16,5,11,43,50,4,24,6,25,1.12,0.28,0.17,0.67,21.6,0,0,0,1.1,1.1,0.05,2.9,2.9,21,21.4,1200,68,251,761,192,28,19,5,26.3,9,47.4,597,2583,1114,17,14,3,4,749,23,20,13509,991,3354,301,360,83.6,350,4,0,80,144,51.4,6,0,0,38,58,0,13,11,18,0,0,0,100,56,37,60.2,991,966,18,17,0,10,13,1,0,0,0,0,739,7
