Player Name,Club Name,Touches,Position,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved
Adam Smith,Bournemouth,1229,DF,14,27.1,1229,92,404,537,295,11,15,4,26.7,8,53.3,521,2455,1022,24,22,3,7,580,28
Milos Kerkez,Bournemouth,1095,DF,29,26,1095,81,371,386,352,31,27,12,44.4,12,44.4,518,3192,1617,46,28,8,10,538,93
Marcus Tavernier,Bournemouth,1246,FW,53,25.9,1246,34,182,404,686,94,106,44,41.5,55,51.9,693,4995,2411,79,82,25,41,765,171
Antoine Semenyo,Bournemouth,1015,FW,58,25.5,1015,31,137,375,526,124,116,50,43.1,55,47.4,611,5156,2477,89,51,42,53,691,188
Justin Kluivert,Bournemouth,694,"MF,FW",50,23,694,13,86,224,397,108,67,24,35.8,41,61.2,414,2930,1644,65,37,35,30,442,114
Philip Billing,Bournemouth,755,MF,27,19.5,755,43,139,337,286,60,33,12,36.4,18,54.5,366,1772,798,22,23,6,17,438,63
Lloyd Kelly,Bournemouth,1065,DF,20,18.3,1065,127,432,484,156,11,4,2,50,0,0,540,2680,1451,15,10,2,6,572,28
Max Aarons,Bournemouth,711,DF,13,15.8,711,43,252,303,165,11,34,14,41.2,12,35.3,364,2174,1121,22,12,7,8,371,26
Dango Ouattara,Bournemouth,783,"FW,DF",23,15.5,783,37,210,273,317,69,47,21,44.7,20,42.6,365,2597,1409,47,24,18,12,405,90
Alex Scott,Bournemouth,612,MF,17,15.4,612,33,120,295,217,29,37,13,35.1,20,54.1,330,2166,1129,24,21,10,11,361,35
Luis Sinisterra,Bournemouth,430,"FW,MF",24,10.8,430,11,63,134,242,83,49,29,59.2,18,36.7,267,2098,1195,51,20,35,10,309,85
Chris Mepham,Bournemouth,434,DF,2,9.4,434,48,182,227,25,6,0,0,,0,,235,1304,736,4,4,0,2,242,1
Mark Travers,Bournemouth,131,GK,0,7.3,131,111,131,0,0,0,0,0,,0,,70,405,180,0,0,0,0,52,0
David Brooks,Bournemouth,177,"FW,MF",7,6.2,177,2,25,72,83,11,10,4,40,6,60,102,680,279,8,9,1,1,113,27
Joe Rothwell,Bournemouth,251,MF,5,5.8,251,8,49,147,56,1,13,7,53.8,4,30.8,140,862,437,6,4,0,2,155,3
Ionuț Radu,Bournemouth,70,GK,0,5,70,64,70,0,0,0,0,0,,0,,51,215,101,0,0,0,0,40,0
Enes Ünal,Bournemouth,147,"FW,MF",15,4.1,147,9,14,60,74,28,11,2,18.2,8,72.7,88,327,120,4,2,1,10,110,28
Kieffer Moore,Bournemouth,53,"FW,MF",3,3.3,53,0,2,21,30,12,3,1,33.3,1,33.3,29,93,34,2,0,0,1,47,15
Jaidon Anthony,Bournemouth,69,FW,5,2.7,69,2,15,27,27,4,6,2,33.3,3,50,36,160,77,2,2,0,2,40,9
Hamed Junior Traorè,Bournemouth,41,MF,2,2,41,1,13,14,15,2,8,4,50,4,50,22,153,80,2,1,1,1,28,4
Tyler Adams,Bournemouth,91,MF,3,1.6,91,3,23,54,14,4,3,2,66.7,0,0,44,193,116,4,1,2,0,52,1
James Hill,Bournemouth,62,DF,1,1.5,62,10,26,24,12,0,1,0,0,1,100,18,41,7,0,1,0,1,20,1
Romain Faivre,Bournemouth,37,"MF,FW",3,0.6,37,1,3,15,19,3,7,2,28.6,3,42.9,24,215,121,4,4,0,1,31,4
Gavin Kilkenny,Bournemouth,,MF,,0.4,,,,,,,,,,,,,,,,,,,,
Dominic Sadi,Bournemouth,2,FW,0,0.1,2,0,0,2,0,0,0,0,,0,,1,6,0,0,0,0,0,1,0
Daniel Adu-Adjei,Bournemouth,,FW,,0,,,,,,,,,,,,,,,,,,,,
Patrick Mainka,Heidenheim,1997,DF,13,36,1997,267,1151,777,85,45,20,10,50,7,35,1049,6518,3805,33,15,0,5,1098,6
Kevin Müller,Heidenheim,1574,GK,2,35,1574,1241,1560,14,0,0,0,0,,0,,883,4548,2524,0,0,0,0,716,0
Tim Kleindienst,Heidenheim,1323,FW,110,33,1325,66,130,632,577,142,63,19,30.2,41,65.1,629,2725,1096,40,37,16,56,932,178
Jonas Föhrenbach,Heidenheim,1714,DF,22,32.5,1714,114,642,733,355,21,27,8,29.6,16,59.3,777,4085,2496,44,32,2,11,860,69
Eren Dinkçi,Heidenheim,1187,"FW,MF",98,30.1,1187,24,182,576,468,76,95,41,43.2,46,48.4,675,4819,2416,85,59,22,46,773,143
Jan-Niklas Beste,Heidenheim,1301,"FW,MF",52,29.6,1302,24,218,456,649,56,81,30,37,45,55.6,653,4972,2149,80,57,12,32,684,136
Omar Traoré,Heidenheim,1532,DF,37,28.5,1532,80,441,697,413,11,49,20,40.8,26,53.1,674,4307,2303,61,40,5,17,754,91
Lennard Maloney,Heidenheim,1210,MF,20,26.9,1210,105,425,681,113,21,8,6,75,2,25,514,2220,740,3,8,0,11,580,17
Benedikt Gimber,Heidenheim,1095,DF,13,23,1095,146,712,353,42,26,11,8,72.7,1,9.1,568,3261,1456,3,1,0,4,588,6
Jan Schöppner,Heidenheim,944,MF,31,22.7,944,79,302,468,180,36,23,11,47.8,11,47.8,351,1746,750,16,11,4,14,420,32
Marvin Pieringer,Heidenheim,644,"MF,FW",40,18.3,644,28,99,325,231,64,28,10,35.7,13,46.4,309,1734,759,28,24,12,21,407,72
Norman Theuerkauf,Heidenheim,709,"MF,DF",11,14.5,709,48,257,347,111,16,6,3,50,3,50,336,2206,961,15,12,2,5,394,17
Kevin Sessa,Heidenheim,600,"MF,FW",24,12.6,600,23,124,288,197,29,26,12,46.2,12,46.2,307,1981,1048,29,21,6,6,360,48
Adrian Beck,Heidenheim,560,"MF,FW",25,11.9,560,12,96,304,169,31,34,21,61.8,13,38.2,314,1759,702,17,12,0,18,341,43
Tim Siersleben,Heidenheim,668,DF,7,11.6,668,59,349,309,14,6,2,0,0,2,100,362,2266,1424,12,4,0,2,452,1
Nikola Dovedan,Heidenheim,311,"MF,FW",25,7.6,311,3,46,163,109,24,23,8,34.8,13,56.5,185,997,453,12,11,4,15,198,25
Marnon Busch,Heidenheim,469,DF,2,7.6,469,19,152,201,119,0,5,3,60,1,20,225,1076,570,15,9,0,1,249,27
Denis Thomalla,Heidenheim,237,"MF,FW",1,6.3,237,15,55,132,52,9,2,2,100,0,0,129,466,177,3,2,0,4,149,19
Florian Pick,Heidenheim,237,"MF,FW",8,5,237,5,32,80,131,13,26,11,42.3,13,50,139,929,421,12,6,4,7,143,34
Stefan Schimmer,Heidenheim,79,"MF,FW",6,1.8,79,3,11,27,41,9,1,0,0,1,100,35,96,32,1,0,0,4,49,12
Vitus Eicher,Heidenheim,,GK,,1,,,,,,,,,,,,,,,,,,,,
Christian Kühlwetter,Heidenheim,3,MF,1,0.6,3,0,1,0,2,2,0,0,,0,,3,33,28,1,0,1,0,2,0
Thomas Keller,Heidenheim,8,"MF,FW",1,0,8,0,2,7,0,0,0,0,,0,,3,10,3,0,0,0,0,3,0
Antonee Robinson,Fulham,2536,DF,47,42.3,2536,165,930,977,660,63,81,37,45.7,35,43.2,1267,7547,4004,99,70,9,16,1376,194
Bernd Leno,Fulham,1657,GK,1,41.3,1657,1275,1645,12,0,0,0,0,,0,,1031,4482,2432,0,0,0,0,942,0
João Palhinha,Fulham,1760,MF,29,35.9,1760,120,569,967,243,41,22,11,50,9,40.9,802,2836,1054,8,12,0,26,1015,14
Timothy Castagne,Fulham,1937,DF,25,34.1,1937,116,697,831,418,58,30,17,56.7,10,33.3,879,3780,1855,48,25,6,10,1121,113
Andreas Pereira,Fulham,1516,MF,49,34.1,1516,20,161,662,703,64,41,19,46.3,22,53.7,829,4460,2016,56,51,13,41,1013,125
Calvin Bassey,Fulham,1901,DF,12,28.8,1901,305,1054,830,37,9,14,11,78.6,2,14.3,1179,6037,3035,15,11,2,8,1291,4
Willian,Fulham,1331,FW,35,26.8,1333,17,160,519,671,73,63,29,46,25,39.7,902,5906,2943,92,71,28,26,1040,181
Alex Iwobi,Fulham,1282,"FW,MF",50,26.6,1282,19,190,585,537,81,72,37,51.4,32,44.4,866,5856,2979,109,80,27,28,1004,175
Harry Wilson,Fulham,828,FW,32,23,828,24,118,352,371,53,34,15,44.1,16,47.1,505,3258,1513,41,25,17,12,606,130
Tosin Adarabioyo,Fulham,1390,DF,4,22.5,1390,181,713,631,48,29,3,1,33.3,0,0,817,4560,2661,10,12,1,4,1009,5
Rodrigo Muniz,Fulham,462,FW,54,22.3,462,30,45,201,220,118,20,5,25,13,65,257,788,258,8,4,4,34,343,76
Issa Diop,Fulham,1258,DF,3,22.3,1258,168,669,568,24,7,1,1,100,0,0,794,4396,2661,11,8,0,5,884,1
Bobby Reid,Fulham,671,FW,33,21.8,671,23,98,301,277,55,25,8,32,12,48,389,1875,900,35,18,11,10,475,95
Tom Cairney,Fulham,1398,MF,29,21.7,1398,27,243,761,422,31,33,26,78.8,5,15.2,931,4502,2261,35,42,6,24,1128,72
Harrison Reed,Fulham,883,MF,19,19.3,883,34,214,488,182,10,10,5,50,5,50,449,1715,590,10,10,1,13,603,40
Tim Ream,Fulham,1206,DF,6,19.1,1206,160,585,600,30,7,7,6,85.7,1,14.3,739,4157,2723,11,6,2,3,811,3
Raúl Jiménez,Fulham,567,FW,44,18.4,567,22,58,269,240,67,24,10,41.7,12,50,317,1407,453,11,14,5,32,442,87
Saša Lukić,Fulham,625,MF,11,15.6,625,36,167,361,109,23,8,5,62.5,3,37.5,342,1634,776,12,12,1,10,374,27
Kenny Tete,Fulham,647,DF,10,14.4,647,40,215,278,161,11,20,9,45,10,50,303,1400,650,20,15,2,3,366,38
Marek Rodák,Fulham,,GK,,5.3,,,,,,,,,,,,,,,,,,,,
Carlos Vinícius,Fulham,102,FW,11,4.9,102,1,11,49,45,15,8,2,25,6,75,66,322,91,3,4,2,7,80,13
Adama Traoré,Fulham,194,"FW,MF",13,4.9,194,4,28,51,118,24,17,9,52.9,6,35.3,134,1227,676,29,13,13,9,154,48
Fodé Ballo-Touré,Fulham,91,"DF,MF",0,2.5,91,4,35,39,18,1,6,3,50,2,33.3,48,300,163,5,2,1,0,50,4
Luke Harris,Fulham,19,MF,0,1.3,19,1,8,6,5,1,2,0,0,2,100,9,39,6,0,1,0,0,11,0
Luc De Fougerolles,Fulham,,DF,,1,,,,,,,,,,,,,,,,,,,,
Armando Broja,Fulham,43,FW,3,1,43,0,5,15,23,4,6,2,33.3,4,66.7,23,162,62,2,2,0,4,37,7
Tyrese Francois,Fulham,,MF,,0.5,,,,,,,,,,,,,,,,,,,,
Aleksandar Mitrović,Fulham,12,FW,0,0.4,12,0,1,6,6,4,3,3,100,0,0,5,29,15,0,0,0,0,8,0
Devan Tanton,Fulham,,DF,,0,,,,,,,,,,,,,,,,,,,,
Marvin Ducksch,Werder Bremen,1160,FW,53,30.6,1166,25,81,531,559,110,28,12,42.9,16,57.1,586,2105,834,17,20,7,17,779,150
Romano Schmid,Werder Bremen,1580,"MF,FW",80,29.9,1580,31,237,816,561,68,111,41,36.9,60,54.1,1002,5514,2923,75,72,22,58,1118,165
Anthony Jung,Werder Bremen,2031,DF,11,29.6,2031,285,1017,940,78,8,6,5,83.3,0,0,1121,5721,2830,24,11,1,2,1306,21
Mitchell Weiser,Werder Bremen,1813,"DF,MF",54,29.5,1813,64,446,819,573,91,107,50,46.7,50,46.7,928,4910,2602,81,49,13,34,1115,189
Michael Zetterer,Werder Bremen,1200,GK,3,27,1200,1008,1181,19,1,1,0,0,,0,,794,5192,2693,0,0,0,0,650,0
Jens Stage,Werder Bremen,1306,MF,16,26.9,1306,70,357,729,238,61,14,7,50,6,42.9,619,2659,1339,24,20,4,14,763,60
Marco Friedl,Werder Bremen,1379,DF,13,24.4,1379,234,824,541,34,4,6,5,83.3,1,16.7,751,3710,1801,4,6,0,5,786,2
Miloš Veljković,Werder Bremen,1461,DF,10,22.3,1461,138,694,688,84,13,4,3,75,1,25,869,4332,2610,16,12,1,2,1014,13
Senne Lynen,Werder Bremen,1165,MF,16,20,1165,76,380,668,127,8,20,8,40,10,50,544,1994,741,10,9,2,9,645,28
Leonardo Bittencourt,Werder Bremen,1024,MF,37,18.3,1024,19,197,547,296,32,44,17,38.6,25,56.8,652,4019,1950,61,51,5,11,736,74
Felix Agu,Werder Bremen,886,"DF,MF",32,17.9,886,61,302,363,229,24,35,14,40,17,48.6,460,2297,1223,32,16,7,10,495,90
Olivier Deman,Werder Bremen,921,DF,24,15.2,921,65,318,412,201,28,17,10,58.8,6,35.3,447,2075,1023,26,11,6,6,505,53
Nick Woltemade,Werder Bremen,623,"FW,MF",58,13.2,623,12,74,310,255,55,47,29,61.7,15,31.9,390,2123,804,21,23,8,53,471,80
Niklas Stark,Werder Bremen,731,DF,4,13.1,731,94,422,301,10,3,1,1,100,0,0,375,1904,1062,5,3,0,1,433,1
Justin Njinmah,Werder Bremen,378,FW,40,11.3,378,5,39,145,206,57,67,26,38.8,32,47.8,248,1845,900,36,27,21,7,267,95
Rafael Borré,Werder Bremen,422,FW,30,11,422,11,40,206,183,40,22,7,31.8,14,63.6,244,1319,487,16,14,5,16,304,73
Christian Groß,Werder Bremen,614,"DF,MF",10,9.2,614,42,248,315,58,9,3,2,66.7,1,33.3,335,2089,1245,17,6,2,4,374,5
Jiří Pavlenka,Werder Bremen,266,GK,1,8,266,233,266,0,0,0,0,0,,0,,127,886,544,0,0,0,0,94,0
Julián Malatini,Werder Bremen,450,DF,11,6.7,450,40,198,216,37,6,7,6,85.7,1,14.3,254,1271,578,9,4,0,3,270,7
Amos Pieper,Werder Bremen,395,DF,5,6.7,395,45,195,177,27,10,0,0,,0,,194,983,474,3,3,0,0,220,3
Dawid Kownacki,Werder Bremen,159,FW,18,4.2,159,2,10,66,83,31,3,2,66.7,1,33.3,77,346,88,5,1,3,5,125,26
Niclas Füllkrug,Werder Bremen,85,FW,4,3,85,2,7,44,34,5,1,0,0,1,100,45,154,71,2,1,0,1,70,12
Skelly Alvero,Werder Bremen,100,MF,2,1.4,100,4,26,54,21,6,2,2,100,0,0,61,369,172,1,3,0,1,62,6
Naby Keïta,Werder Bremen,81,"MF,DF",3,1.2,81,1,16,56,10,1,6,4,66.7,2,33.3,55,320,182,1,1,0,1,57,4
Oliver Burke,Werder Bremen,13,FW,0,1.1,13,0,1,10,2,0,1,1,100,0,0,7,51,24,2,1,0,0,6,1
Nicolai Rapp,Werder Bremen,56,DF,1,1.1,56,7,31,24,1,0,0,0,,0,,29,144,64,1,0,0,1,24,0
Isak Hansen-Aarøen,Werder Bremen,21,MF,1,0.3,21,0,3,9,10,0,2,0,0,2,100,14,128,72,2,2,0,2,14,3
Leon Opitz,Werder Bremen,17,"FW,DF",2,0.2,17,0,7,6,4,1,2,1,50,1,50,10,51,28,1,1,1,0,9,2
Ilia Gruev,Werder Bremen,3,MF,2,0,3,0,0,3,0,0,0,0,,0,,2,1,0,0,0,0,0,2,0
Joel Imasuen,Werder Bremen,1,FW,0,0,1,0,0,0,1,0,0,0,,0,,1,2,1,0,0,0,0,1,0
Noah Atubolu,Freiburg,1983,GK,3,45.3,1983,1489,1958,27,0,0,0,0,,0,,1140,6286,3233,0,0,0,0,1047,0
Maximilian Eggestein,Freiburg,2189,MF,37,43.9,2189,84,465,1307,440,45,42,23,54.8,15,35.7,1204,6456,3174,66,63,4,27,1398,94
Nicolas Höfler,Freiburg,2065,MF,26,37.2,2065,145,599,1240,239,32,24,17,70.8,5,20.8,1077,5501,2266,19,15,0,23,1261,19
Ritsu Doan,Freiburg,1473,"MF,FW",65,35.7,1473,47,233,625,640,91,139,64,46,66,47.5,840,5024,2465,72,62,18,45,968,195
Lucas Höler,Freiburg,1336,"FW,MF",79,35.4,1338,60,195,620,533,127,32,15,46.9,16,50,702,2959,1134,30,16,6,28,932,205
Vincenzo Grifo,Freiburg,2028,"MF,FW",47,34.7,2036,50,283,1027,743,83,68,31,45.6,29,42.6,1161,5933,2652,66,48,32,24,1335,189
Matthias Ginter,Freiburg,2099,DF,10,31.6,2099,194,841,1156,112,22,5,2,40,3,60,1311,7756,4794,33,20,0,3,1442,24
Manuel Gulde,Freiburg,1794,DF,16,30.1,1794,208,863,875,64,18,4,2,50,2,50,899,4142,2287,12,14,0,2,1170,5
Kiliann Sildillia,Freiburg,1891,"DF,MF",33,28.7,1891,131,567,958,386,33,40,19,47.5,19,47.5,978,5494,2557,37,31,5,14,1088,98
Roland Sallai,Freiburg,1120,"FW,MF",56,28.1,1121,29,128,492,513,102,70,23,32.9,37,52.9,705,4018,1885,63,54,20,23,836,184
Lukas Kübler,Freiburg,1568,DF,9,25.4,1568,124,548,789,241,19,13,6,46.2,3,23.1,725,3228,1357,19,16,1,6,807,38
Michael Gregoritsch,Freiburg,787,FW,40,24.1,787,33,104,323,369,125,21,6,28.6,12,57.1,350,1426,543,15,23,4,18,547,105
Merlin Röhl,Freiburg,855,"MF,FW",65,20.7,855,31,162,405,317,56,52,23,44.2,21,40.4,518,3631,1853,58,49,14,51,545,106
Philipp Lienhart,Freiburg,1499,DF,8,20.1,1499,142,778,686,45,13,4,0,0,3,75,1006,6696,3552,17,13,0,1,1020,3
Jordy Makengo,Freiburg,825,DF,18,14.9,825,57,273,370,190,10,33,17,51.5,12,36.4,424,2459,1119,30,21,5,9,475,42
Christian Günter,Freiburg,712,DF,12,14.4,712,29,178,296,240,14,10,4,40,5,50,339,1418,694,19,24,5,8,441,78
Noah Weißhaupt,Freiburg,734,"MF,DF",20,13,734,18,133,314,294,35,55,15,27.3,26,47.3,471,3758,2089,71,48,18,4,503,113
Yannik Keitel,Freiburg,743,DF,7,11.3,743,96,341,374,34,10,6,3,50,3,50,424,2322,1261,4,3,1,3,474,7
Maximilian Philipp,Freiburg,201,"FW,MF",9,4.7,201,5,28,91,82,17,3,2,66.7,1,33.3,118,433,125,3,5,2,7,136,32
Junior Adamu,Freiburg,109,FW,11,3.1,109,4,14,61,39,8,9,3,33.3,5,55.6,53,292,154,3,4,0,6,66,13
Florent Muslija,Freiburg,128,MF,7,1.8,128,0,32,56,40,4,4,3,75,0,0,70,437,185,6,3,2,3,87,10
Kenneth Schmidt,Freiburg,88,DF,1,1.4,88,8,34,47,8,0,0,0,,0,,45,255,61,2,0,0,2,43,4
Attila Szalai,Freiburg,92,"DF,MF",0,1.1,92,24,53,36,3,1,0,0,,0,,55,229,137,1,1,1,2,58,0
Florian Müller,Freiburg,,GK,,1,,,,,,,,,,,,,,,,,,,,
Maximilian Breunig,Freiburg,10,FW,2,0.2,10,0,1,5,4,0,0,0,,0,,1,0,0,0,0,0,0,4,1
Fabian Rüdlin,Freiburg,6,MF,0,0.1,6,0,0,2,4,0,0,0,,0,,3,6,0,0,0,0,0,3,0
Benjamin Lecomte,Montpellier,1082,GK,0,33,1082,846,1067,16,0,0,0,0,,0,,699,4248,2923,0,0,0,0,467,0
Téji Savanier,Montpellier,2276,MF,59,32.2,2283,58,434,1212,682,52,108,55,50.9,42,38.9,1525,8329,3398,39,59,8,38,1409,108
Joris Chotard,Montpellier,1481,MF,22,29.7,1481,118,483,809,201,18,14,3,21.4,9,64.3,952,4381,1727,12,18,2,13,793,40
Becir Omeragic,Montpellier,1283,"DF,MF",9,28.7,1283,184,614,616,69,19,9,6,66.7,3,33.3,891,5610,3032,21,13,2,3,811,12
Jordan Ferri,Montpellier,1525,MF,45,25.5,1525,51,347,877,320,18,36,17,47.2,19,52.8,1231,6540,2900,37,43,5,33,1132,68
Akor Adams,Montpellier,638,FW,68,25.2,638,17,61,266,323,118,44,14,31.8,26,59.1,442,2673,1004,40,23,22,30,472,127
Musa Al-Taamari,Montpellier,843,FW,80,21.4,843,8,95,331,444,92,115,44,38.3,61,53,641,5046,2262,81,59,46,32,603,168
Boubakar Kouyaté,Montpellier,1155,DF,15,21.4,1155,170,630,490,36,21,3,3,100,0,0,704,3753,1773,4,3,1,2,622,3
Issiaga Sylla,Montpellier,899,"DF,FW",30,16.2,899,82,289,410,212,30,19,10,52.6,9,47.4,531,3116,1562,29,21,2,14,452,51
Falaye Sacko,Montpellier,922,DF,14,15.4,922,54,288,425,220,11,19,11,57.9,8,42.1,548,3276,1612,38,28,5,7,472,42
Christopher Jullien,Montpellier,688,DF,7,14.7,688,169,402,275,13,10,2,1,50,0,0,402,2023,931,1,1,0,0,364,4
Wahbi Khazri,Montpellier,483,FW,31,14.7,483,14,67,233,192,52,38,14,36.8,23,60.5,363,2339,1031,27,22,10,14,351,76
Arnaud Nordin,Montpellier,551,"FW,MF",42,14.6,551,6,66,227,271,66,55,33,60,15,27.3,441,3428,1667,56,48,25,19,422,125
Maxime Estève,Montpellier,493,DF,5,13.1,493,79,256,218,26,9,5,2,40,3,60,282,1411,699,8,4,1,1,249,10
Modibo Sagnan,Montpellier,676,DF,6,12.7,676,107,342,306,31,13,2,2,100,0,0,447,2290,1211,7,3,0,3,408,5
Khalil Fayad,Montpellier,473,"FW,MF",15,12.7,473,12,95,242,139,24,23,10,43.5,11,47.8,338,1944,832,18,14,4,14,307,47
Enzo Tchato,Montpellier,741,DF,9,12.5,741,39,222,332,196,10,5,4,80,1,20,462,2825,1543,26,31,3,2,425,57
Lucas Mincarelli,Montpellier,572,"DF,MF",11,11.1,572,38,190,253,135,10,22,8,36.4,13,59.1,312,2156,998,24,27,1,15,276,40
Silvan Hefti,Montpellier,391,"DF,FW",5,10.9,391,21,128,162,107,10,10,7,70,2,20,238,1488,736,14,9,1,6,209,36
Tanguy Coulibaly,Montpellier,289,"FW,MF",31,8.4,289,3,61,116,125,36,26,17,65.4,7,26.9,207,1736,871,27,24,14,15,192,48
Léo Leroy,Montpellier,270,MF,8,7.6,270,18,98,130,48,6,14,5,35.7,9,64.3,168,944,408,8,5,1,5,145,9
Théo Sainte-Luce,Montpellier,229,DF,5,5.6,229,20,80,109,43,4,9,3,33.3,5,55.6,120,639,326,8,6,1,1,110,6
Kelvin Yeboah,Montpellier,126,FW,13,4.2,126,7,23,43,61,18,14,8,57.1,4,28.6,89,615,280,9,6,6,6,85,25
Dimitry Bertaud,Montpellier,152,GK,0,4,152,139,152,0,0,0,0,0,,0,,111,628,307,0,0,0,0,62,0
Yann Karamoh,Montpellier,134,"FW,MF",14,3.9,134,1,11,57,68,8,12,6,50,6,50,103,742,257,7,8,0,9,103,28
Axel Gueguin,Montpellier,68,"DF,FW",3,2.9,68,4,30,24,14,2,2,1,50,1,50,35,240,86,2,2,1,3,29,6
Sacha Delaye,Montpellier,72,"MF,FW",6,2.3,72,0,8,24,41,9,3,2,66.7,1,33.3,48,284,132,2,4,1,0,45,8
Othmane Maamma,Montpellier,49,FW,5,1,49,1,9,23,22,5,10,6,60,4,40,39,448,138,7,6,3,5,35,3
Junior Ndiaye,Montpellier,,FW,,0.5,,,,,,,,,,,,,,,,,,,,
Yanis Issoufou,Montpellier,3,MF,0,0.2,3,0,1,1,2,0,1,0,0,1,100,5,31,0,0,1,0,1,3,1
Elye Wahi,Montpellier,10,FW,3,0.2,10,0,0,5,6,1,1,1,100,0,0,8,82,17,1,1,1,0,8,2
Mamadou Sakho,Montpellier,18,DF,0,0.1,18,1,11,7,0,0,0,0,,0,,15,50,36,0,0,0,0,15,0
Antonio Sivera,Alavés,1185,GK,3,35,1185,922,1157,28,0,0,0,0,,0,,520,3386,2069,0,0,0,0,383,0
Ander Guevara,Alavés,1735,MF,29,34.8,1735,75,409,1029,320,16,32,19,59.4,10,31.3,840,4759,2604,53,43,3,24,1089,37
Andoni Gorosabel,Alavés,1624,DF,35,31.8,1624,89,489,683,466,40,49,25,51,17,34.7,653,3230,1890,58,37,8,29,793,121
Jon Guridi,Alavés,1075,MF,36,30,1075,32,172,584,333,74,38,14,36.8,21,55.3,536,2805,1392,30,25,3,28,700,92
Luis Rioja,Alavés,1119,"FW,MF",56,28.9,1123,24,150,382,619,62,71,41,57.7,23,32.4,611,4030,2161,70,51,18,20,720,173
Rafa Marín ,Alavés,1303,DF,11,28.3,1303,220,711,555,45,25,5,3,60,1,20,628,3485,2110,13,5,0,4,696,6
Antonio Blanco,Alavés,1283,MF,19,28.2,1283,64,339,740,224,18,33,19,57.6,8,24.2,620,2633,1271,20,15,3,22,762,22
Javi López,Alavés,1407,DF,40,27.7,1407,89,441,582,404,45,74,41,55.4,28,37.8,631,4017,1896,53,44,11,20,720,120
Abdel Abqar,Alavés,1032,DF,15,25.7,1032,191,570,422,42,21,5,3,60,1,20,492,2460,1418,7,6,0,1,499,1
Rubén Duarte,Alavés,1024,DF,10,24.5,1024,88,405,429,197,12,5,3,60,1,20,395,1913,981,16,15,2,4,468,39
Samu Omorodion,Alavés,600,FW,89,22.3,600,18,38,289,282,107,57,22,38.6,33,57.9,344,1689,668,30,17,24,36,434,100
Alex Sola,Alavés,630,"FW,MF",31,17.6,630,12,110,218,316,48,75,43,57.3,27,36,327,2390,1300,40,24,12,17,372,103
Kiké,Alavés,516,"FW,MF",56,17,517,18,51,199,280,108,33,15,45.5,14,42.4,300,1319,472,18,10,12,21,392,97
Nahuel Tenaglia,Alavés,604,DF,6,16.5,604,84,275,251,85,13,14,7,50,2,14.3,247,1662,1020,17,10,1,5,268,24
Carlos Benavídez,Alavés,628,MF,11,15.6,628,35,173,348,113,11,4,2,50,2,50,222,1090,508,9,10,1,5,286,5
Carlos Vicente,Alavés,499,FW,39,13.4,499,7,63,172,268,41,39,15,38.5,23,59,221,1250,541,23,8,10,11,298,82
Ianis Hagi,Alavés,404,"MF,FW",13,11.2,405,2,32,162,222,25,27,14,51.9,8,29.6,224,1175,576,17,13,2,13,249,58
Aleksandar Sedlar,Alavés,497,DF,3,10.5,497,76,277,204,18,6,3,2,66.7,0,0,247,1442,794,6,4,0,2,264,1
Abderrahman Rebbach,Alavés,343,"FW,MF",28,9.1,343,6,46,102,198,36,28,10,35.7,16,57.1,180,1419,763,34,15,18,12,196,78
Giuliano Simeone,Alavés,253,FW,15,8,254,5,43,80,137,27,22,9,40.9,12,54.5,137,907,513,25,8,5,9,159,47
Jesús Owono,Alavés,130,GK,0,7,130,95,127,3,0,0,0,0,,0,,64,369,279,0,0,0,0,41,0
Xeber,Alavés,137,"FW,MF",7,6.2,137,3,25,33,80,17,7,3,42.9,4,57.1,66,316,133,6,2,3,3,83,30
Joaquín Panichelli,Alavés,81,"FW,MF",14,2.5,81,6,13,37,32,7,1,0,0,0,0,36,165,76,3,0,1,7,61,10
Nikola Maraš,Alavés,,DF,,2.2,,,,,,,,,,,,,,,,,,,,
Victor Parada,Alavés,2,"FW,MF",1,2,2,0,0,2,0,0,0,0,,0,,1,0,0,0,0,0,0,1,0
Jon Karrikaburu,Alavés,8,"MF,FW",2,2,8,0,0,5,3,1,0,0,,0,,6,20,0,0,0,0,0,6,1
Selu Diallo,Alavés,,MF,,1.1,,,,,,,,,,,,,,,,,,,,
Unai Ropero,Alavés,7,MF,0,0.9,7,0,1,1,5,1,2,0,0,2,100,3,9,6,0,0,0,0,3,0
Miguel,Alavés,22,"FW,MF",2,0.7,22,0,1,12,9,3,0,0,,0,,9,42,25,1,0,1,4,14,3
Tomás Mendes,Alavés,7,MF,0,0.6,7,0,1,4,2,0,0,0,,0,,6,20,1,0,1,0,1,5,0
